# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 1.0601605497908693,1.439821006880584,3.5183483359051713,5.014780681041747,161.3203207723269,0.0,-0.13758059787668125,-7.2684667419190765,-27.17994160808468,-140.5998251723161
 1.0652441964181614,1.457836649122737,3.5438423562790957,5.0149080459403015,161.17839768700856,0.0,-0.14029780245769266,-7.127695391391136,-27.91757486770665,-145.09923952265095
 1.070297448853425,1.4758726399144793,3.569184603935495,5.015036945225833,161.033497627824,0.0,-0.1430805506939002,-6.989070108762392,-28.67461323985799,-149.81210257149036
 1.0753202282823227,1.4939263911349958,3.594374683595958,5.01516740224267,160.88556732786816,0.0,-0.1459319479709512,-6.852509090052421,-29.45188058721603,-154.748453194294
 1.0803124563936353,1.511995322478477,3.619412202446476,5.015299439899824,160.73455126735757,0.0,-0.14885519131874092,-6.717938361039207,-30.25023238990044,-159.91893496919926
 1.08527405540179,1.5300768617191463,3.644296770245109,5.015433080693079,160.580391620042,0.0,-0.15185357627926147,-6.585291071189406,-31.07055750820984,-165.33482793775912
 1.090204948071533,1.5481684449866664,3.669027999439838,5.015568346576374,160.42302819597677,0.0,-0.1549305040214822,-6.45450685335241,-31.913780040446976,-171.00808894326713
 1.095105057744813,1.5662675170524547,3.693605505297515,5.015705258945005,160.26239838066337,0.0,-0.1580894889765883,-6.325531232175034,-32.78086125078556,-176.9513884692708
 1.099974308369929,1.5843715316274056,3.7180289060433416,5.015843838443727,160.09843707042364,0.0,-0.1613341661792521,-6.198315110073703,-33.67280159990184,-183.17815569310943
 1.1048126245330245,1.6024779516716117,3.7422978230139834,5.015984105328563,159.93107660398877,0.0,-0.16466829945128153,-6.07281427774663,-34.59064285864847,-189.7026212853752
 1.109619931491994,1.6205842497166183,3.76641188081912,5.016126078686365,159.7602466901453,0.0,-0.16809578915817625,-5.948988996143212,-35.53547033744942,-196.53986875918295
 1.1143961552128947,1.6386879082008774,3.790370707518848,5.016269777080178,159.58587433143,0.0,-0.17162068108816658,-5.826803586021609,-36.50841520514245,-203.70588241824137
